Date,Close/Last,Volume,Open,High,Low
05/02/2022,10.97,10925540,$10.09,$10.98,$9.75
04/29/2022,10.14,7931939,$10.82,$11.4606,$10.11
04/28/2022,10.94,10367360,$11.1,$11.37,$10.35
04/27/2022,10.98,8272897,$10.825,$11.7,$10.7803
04/26/2022,11.08,8596319,$11.97,$12.04,$10.965
04/25/2022,12.04,9640841,$11.515,$12.12,$11.42
04/22/2022,11.85,9682625,$12.655,$13.1,$11.82
04/21/2022,12.8,10523800,$14.46,$14.7264,$12.76
04/20/2022,13.95,8423935,$14.93,$15.11,$13.845
04/19/2022,14.88,7729844,$14.82,$15.21,$14.23
04/18/2022,14.79,6212918,$14.75,$15.06,$14.265
04/14/2022,14.97,6280376,$15.96,$16.07,$14.96
04/13/2022,16.01,6376602,$15.45,$16.1,$15.31
04/12/2022,15.47,6857767,$16.3,$16.94,$15.37
04/11/2022,15.91,5646748,$16.1,$16.45,$15.47
04/08/2022,16.68,6101409,$17.13,$17.51,$16.62
04/07/2022,17.42,6392814,$17.56,$17.98,$16.7703
04/06/2022,17.66,9199587,$18.54,$18.675,$17.38
04/05/2022,19.23,6467137,$20.75,$21.01,$19.16
04/04/2022,20.69,6440142,$20.73,$21.0434,$20.37
04/01/2022,20.73,8035128,$20.6,$21.38,$20.31
03/31/2022,21.17,6034413,$22.15,$22.87,$21.12
03/30/2022,22.04,5626485,$22.53,$22.98,$21.75
03/29/2022,23,8443921,$23.08,$23.108,$21.58
03/28/2022,22.86,14306660,$22.145,$23.66,$21.9
03/25/2022,20.76,7261442,$22,$22.27,$20.32
03/24/2022,21.54,7709309,$21.18,$21.6,$20.23
03/23/2022,20.84,7400920,$20.52,$21.46,$19.9448
03/22/2022,20.75,9264403,$20.46,$21.4,$20.21
03/21/2022,19.62,8611872,$19.575,$20.41,$19.02
03/18/2022,19.53,13580170,$18.09,$19.8,$17.88
03/17/2022,18.43,10398050,$16.12,$18.49,$16.03
03/16/2022,16.39,8028697,$15.2,$16.42,$15.11
03/15/2022,14.91,4296367,$14.2,$14.97,$13.57
03/14/2022,14.16,6032826,$15,$15.24,$14.02
03/11/2022,15.14,5723877,$16.6,$16.72,$15.0901
03/10/2022,16.51,6341083,$16.13,$16.74,$15.83
03/09/2022,16.84,10942780,$16.08,$17.18,$16.038
03/08/2022,15.1,6857951,$14.8,$15.7386,$14.42
03/07/2022,14.95,8568976,$15.05,$15.725,$14.66
03/04/2022,14.92,6593257,$15.73,$16.29,$14.72
03/03/2022,15.97,7159144,$17.59,$17.89,$15.8428
03/02/2022,17.73,7997412,$17.39,$17.84,$16.77
03/01/2022,17.5,13192360,$18.19,$18.22,$16.74
02/28/2022,17.23,13831650,$16.13,$17.8,$16.06
02/25/2022,16.22,7577634,$16.41,$16.7,$15.585
02/24/2022,16.25,12252550,$13.69,$16.39,$13.63
02/23/2022,15.07,7533069,$16.58,$16.7895,$15.02
02/22/2022,15.95,7301481,$16.114,$16.9958,$15.71
02/18/2022,16.97,6579072,$17.68,$17.84,$16.7301
02/17/2022,17.76,7025316,$19,$19.34,$17.6
02/16/2022,19.59,6371108,$19.1336,$19.86,$18.9601
02/15/2022,19.73,10252310,$19.06,$19.85,$18.85
02/14/2022,17.92,7381645,$18.36,$19.09,$17.67
